ID 	Study 	Case 	Ctrl 	Description 	Citation 	PMID 	Size 	QTL
83	Non-albumin protein (NAP) (autosome)		"98,538"	Result of GWAS for NAP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
84	Non-albumin protein (NAP) (chrX)		"98,538"	Result of GWAS for NAP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
85	Sodium (Na) (autosome)		"127,304"	Result of GWAS for Na in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
86	Sodium (Na) (chrX)		"127,304"	Result of GWAS for Na in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
87	Neutrophil count (Neutro) (autosome)		"62,076"	Result of GWAS for Neutro in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
88	Neutrophil count (Neutro) (chrX)		"62,076"	Result of GWAS for Neutro in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
89	Phosphorus (P) (autosome)		"42,793"	Result of GWAS for P in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
90	Phosphorus (P) (chrX)		"42,793"	Result of GWAS for P in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
91	Pulse pressure (PP) (autosome)		"136,249"	Result of GWAS for PP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
92	Pulse pressure (PP) (chrX)		"136,249"	Result of GWAS for PP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
93	Prothrombin time (PT) (autosome)		"58,110"	Result of GWAS for PT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
94	Prothrombin time (PT) (chrX)		"58,110"	Result of GWAS for PT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
95	Posterior wall thickness (PW) (autosome)		"19,373"	Result of GWAS for PW in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
96	Posterior wall thickness (PW) (chrX)		"19,373"	Result of GWAS for PW in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
97	Platelet count (Plt) (autosome)		"108,208"	Result of GWAS for Plt in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
98	Platelet count (Plt) (chrX)		"108,208"	Result of GWAS for Plt in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
99	Red blood cell count (RBC) (autosome)		"108,794"	Result of GWAS for RBC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
100	Red blood cell count (RBC) (chrX)		"108,794"	Result of GWAS for RBC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
101	Relative wall thickness (RWT) (autosome)		"19,311"	Result of GWAS for RWT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	132MB	Yes
102	Relative wall thickness (RWT) (chrX)		"19,311"	Result of GWAS for RWT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
103	Systolic blood pressure (SBP) (autosome)		"136,597"	Result of GWAS for SBP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
104	Systolic blood pressure (SBP) (chrX)		"136,597"	Result of GWAS for SBP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
105	Total bilirubin (TBil) (autosome)		"110,207"	Result of GWAS for TBil in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
106	Total bilirubin (TBil) (chrX)		"110,207"	Result of GWAS for TBil in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
107	Total cholesterol (TC) (autosome)		"128,305"	Result of GWAS for TC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
108	Total cholesterol (TC) (chrX)		"128,305"	Result of GWAS for TC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
109	Triglyceride (TG) (autosome)		"105,597"	Result of GWAS for TG in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
110	Triglyceride (TG) (chrX)		"105,597"	Result of GWAS for TG in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
111	Total protein (TP) (autosome)		"113,509"	Result of GWAS for TP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
112	Total protein (TP) (chrX)		"113,509"	Result of GWAS for TP in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
113	Uric acid (UA) (autosome)		"109,029"	Result of GWAS for UA in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
114	Uric acid (UA) (chrX)		"109,029"	Result of GWAS for UA in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
115	White blood cell count (WBC) (autosome)		"107,964"	Result of GWAS for WBC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
116	White blood cell count (WBC) (chrX)		"107,964"	Result of GWAS for WBC in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
117	Zinc sulfate turbidity test (ZTT) (autosome)		"12,303"	Result of GWAS for ZTT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	133MB	Yes
118	Zinc sulfate turbidity test (ZTT) (chrX)		"12,303"	Result of GWAS for ZTT in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.1MB	Yes
119	Estimated glomerular filtration rate (eGFR) (autosome)		"143,658"	Result of GWAS for eGFR in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
120	Estimated glomerular filtration rate (eGFR) (chrX)		"143,658"	Result of GWAS for eGFR in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
121	Serum creatinine (sCr) (autosome)		"142,097"	Result of GWAS for sCr in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	135MB	Yes
122	Serum creatinine (sCr) (chrX)		"142,097"	Result of GWAS for sCr in the Biobank Japan.	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	29403010	3.2MB	Yes
123	Menarche		"67,029"	Association results of Menarche GWAS using NBDC Data Set.	Elucidating the genetic architecture of reproductive ageing in the Japanese population	29773799	176MB	Yes
124	Menopause		"43,861"	Association results of Menopause GWAS using NBDC Data Set.	Elucidating the genetic architecture of reproductive ageing in the Japanese population	29773799	181MB	Yes
125	"Smoking behaviors : Age of smoking initiation (autosome, all)"		"30,418"	Association result of GWAS for age of smoking initiation in the Biobank Japan.	"GWAS of smoking behaviour in 165,436 Japanese people reveals seven new loci and shared genetic architecture"	31089300	154MB	Yes
130	"Smoking behaviors : Cigarettes per day (autosome, all)"		"72,655"	Association result of GWAS for cigarettes per day in the Biobank Japan.	"GWAS of smoking behaviour in 165,436 Japanese people reveals seven new loci and shared genetic architecture"	31089300	155MB	Yes
135	"Height (autosome, all)"		"159,095"	Result of GWAS for Height in the Biobank Japan.	Characterizing rare and low-frequency height-associated variants in the Japanese population	26367797	614MB	Yes
